generator,Capacity_MW
cats_425,1.2
cats_426,1.2
cats_427,1.2
cats_428,1.2
cats_429,1.2
cats_430,1.2
cats_431,1.2
cats_432,41.0
cats_433,8.0
cats_434,200.0
cats_435,200.0
cats_436,255.0
cats_437,49.8
cats_438,49.8
cats_439,49.8
cats_440,49.8
cats_441,49.8
cats_442,203.2
cats_443,203.2
cats_444,213.3
cats_445,181.5
cats_446,181.5
cats_447,349.4
cats_448,60.5
cats_449,60.5
cats_450,69.9
cats_451,69.9
cats_452,108.0
cats_453,108.0
cats_454,108.0
cats_455,108.0
cats_456,59.0
cats_457,59.0
cats_458,60.5
cats_459,50.0
cats_460,50.0
cats_461,50.0
cats_462,50.0
cats_463,207.0
cats_464,207.0
cats_465,207.0
cats_466,207.0
cats_467,100.0
cats_468,100.0
cats_469,100.0
cats_470,100.0
cats_471,100.0
cats_472,100.0
cats_473,100.0
cats_474,100.0
cats_475,49.9
cats_476,49.9
cats_477,49.9
cats_478,49.9
cats_479,100.0
cats_480,100.0
cats_481,100.0
cats_482,100.0
cats_483,100.0
cats_484,131.8
cats_485,131.8
cats_486,131.8
cats_487,0.8
cats_488,0.8
cats_489,49.0
cats_490,12.5
cats_491,3.5
cats_492,15.0
cats_493,15.0
cats_494,3.0
cats_495,29.0
cats_496,1.0
cats_497,1.0
cats_498,198.0
cats_499,70.7
cats_500,198.0
cats_501,70.7
cats_502,8.9
cats_503,3.0
cats_504,3.0
cats_505,185.0
cats_506,103.9
cats_507,4.5
cats_508,60.5
cats_509,4.6
cats_510,4.8
cats_511,4.8
cats_512,3.8
cats_513,1.5
cats_514,1.5
cats_515,1.5
cats_516,4.6
cats_517,4.6
cats_518,4.4
cats_519,4.4
cats_520,4.4
cats_521,2.0
cats_522,0.5
cats_523,0.5
cats_524,0.5
cats_525,0.5
cats_526,0.5
cats_527,7.2
cats_528,4.6
cats_529,4.6
cats_530,131.8
cats_531,131.8
cats_532,131.8
cats_533,131.8
cats_534,131.8
cats_535,4.6
cats_536,4.6
cats_537,4.6
cats_538,4.6
cats_539,70.5
cats_540,70.5
cats_541,3.3
cats_542,3.3
cats_543,231.0
cats_544,231.0
cats_545,216.0
cats_546,231.0
cats_547,231.0
cats_548,237.2
cats_549,4.8
cats_550,4.8
cats_551,33.5
cats_552,12.1
cats_553,0.5
cats_554,0.5
cats_555,1.0
cats_556,1.0
cats_557,1.4
cats_558,31.0
cats_559,48.6
cats_560,48.6
cats_561,117.9
cats_562,33.0
cats_563,40.0
cats_564,23.8
cats_565,25.0
cats_566,25.0
cats_567,60.3
cats_568,57.6
cats_569,8.3
cats_570,12.1
cats_571,0.7
cats_572,0.7
cats_573,36.9
cats_574,36.9
cats_575,18.4
cats_576,5.5
cats_577,12.0
cats_578,12.0
cats_579,12.0
cats_580,13.2
cats_581,53.1
cats_582,22.0
cats_583,10.0
cats_584,32.3
cats_585,35.1
cats_586,35.1
cats_587,67.5
cats_588,67.5
cats_589,13.6
cats_590,10.0
cats_591,10.0
cats_592,85.1
cats_593,83.5
cats_594,48.6
cats_595,3.4
cats_596,3.6
cats_597,10.2
cats_598,1.6
cats_599,34.6
cats_600,34.6
cats_601,26.7
cats_602,26.7
cats_603,26.7
cats_604,51.7
cats_605,51.7
cats_606,38.2
cats_607,38.2
cats_608,33.2
cats_609,32.0
cats_610,39.6
cats_611,39.6
cats_612,57.6
cats_613,52.2
cats_614,71.4
cats_615,71.4
cats_616,63.0
cats_617,63.0
cats_618,2.8
cats_619,12.3
cats_620,29.7
cats_621,6.7
cats_622,7.0
cats_623,3.7
cats_624,6.6
cats_625,6.0
cats_626,81.9
cats_627,25.5
cats_628,26.7
cats_629,13.6
cats_630,13.6
cats_631,2.8
cats_632,3.2
cats_633,3.2
cats_634,3.2
cats_635,3.2
cats_636,10.0
cats_637,10.0
cats_638,13.5
cats_639,13.5
cats_640,0.5
cats_641,0.4
cats_642,1.2
cats_643,18.0
cats_644,2.0
cats_645,2.0
cats_646,19.8
cats_647,15.8
cats_648,21.6
cats_649,31.2
cats_650,15.8
cats_651,15.8
cats_652,17.5
cats_653,17.5
cats_654,34.0
cats_655,34.0
cats_656,36.0
cats_657,36.5
cats_658,50.0
cats_659,50.0
cats_660,30.0
cats_661,2.5
cats_662,2.5
cats_663,2.3
cats_664,2.8
cats_665,2.8
cats_666,2.8
cats_667,1.0
cats_668,1.0
cats_669,2.0
cats_670,2.2
cats_671,2.0
cats_672,2.0
cats_673,2.5
cats_674,1.6
cats_675,1.5
cats_676,1.5
