scenario,timepoint,site,capacity_factor
1,2035-01-01T00:00:00.000000-0800,pvu2325,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2329,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2332,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2334,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2351,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2353,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2356,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2360,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2380,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2385,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2399,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2402,0.0
1,2035-01-01T00:00:00.000000-0800,pvu7649,0.0
1,2035-01-01T00:00:00.000000-0800,pvu7652,0.0
1,2035-01-01T00:00:00.000000-0800,pvu7659,0.0
1,2035-01-01T00:00:00.000000-0800,pvu7679,0.0
1,2035-01-01T00:00:00.000000-0800,pvu7707,0.0
1,2035-01-01T00:00:00.000000-0800,pvu7708,0.0
1,2035-01-01T00:00:00.000000-0800,pvu7751,0.0
1,2035-01-01T00:00:00.000000-0800,pvu7808,0.0
1,2035-01-01T00:00:00.000000-0800,pvu7823,0.0
1,2035-01-01T00:00:00.000000-0800,pvu7882,0.0
1,2035-01-01T00:00:00.000000-0800,pvu7888,0.0
1,2035-01-01T00:00:00.000000-0800,pvu7889,0.0
1,2035-01-01T00:00:00.000000-0800,pvu7892,0.0
1,2035-01-01T00:00:00.000000-0800,pvu7893,0.0
1,2035-01-01T00:00:00.000000-0800,pvu7911,0.0
1,2035-01-01T00:00:00.000000-0800,pvu7913,0.0
1,2035-01-01T00:00:00.000000-0800,pvu7914,0.0
1,2035-01-01T00:00:00.000000-0800,pvu7917,0.0
1,2035-01-01T00:00:00.000000-0800,pvu7919,0.0
1,2035-01-01T00:00:00.000000-0800,pvu7920,0.0
1,2035-01-01T00:00:00.000000-0800,pvu7939,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8006,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8009,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8014,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8045,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8082,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8102,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8142,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8185,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8186,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8196,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8231,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8244,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8269,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8302,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8303,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8304,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8315,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8340,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8355,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8357,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8387,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8398,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8405,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8472,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8486,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8572,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8573,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8587,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8589,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8600,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8660,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8673,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8690,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8691,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8704,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8739,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8766,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8775,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8830,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8833,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8865,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8866,0.0
1,2035-01-01T00:00:00.000000-0800,wto200,0.048
1,2035-01-01T00:00:00.000000-0800,wto288,0.0
1,2035-01-01T00:00:00.000000-0800,wto295,0.0
1,2035-01-01T00:00:00.000000-0800,wto302,0.0
1,2035-01-01T00:00:00.000000-0800,wto303,0.0
1,2035-01-01T00:00:00.000000-0800,wto449,0.0
1,2035-01-01T00:00:00.000000-0800,wto634,0.323
1,2035-01-01T00:00:00.000000-0800,wto638,0.25
1,2035-01-01T00:00:00.000000-0800,wto796,0.0
1,2035-01-01T00:00:00.000000-0800,wto1053,0.0
1,2035-01-01T00:00:00.000000-0800,wto1133,0.0
1,2035-01-01T00:00:00.000000-0800,wto1329,0.079
1,2035-01-01T00:00:00.000000-0800,wto1330,0.0
1,2035-01-01T00:00:00.000000-0800,wto1376,0.0
1,2035-01-01T00:00:00.000000-0800,wto1402,0.22
1,2035-01-01T00:00:00.000000-0800,wto1486,0.0
1,2035-01-01T00:00:00.000000-0800,wto1542,0.006
1,2035-01-01T00:00:00.000000-0800,wto1607,0.0
1,2035-01-01T00:00:00.000000-0800,wto1619,0.0
1,2035-01-01T00:00:00.000000-0800,wto1625,0.0
1,2035-01-01T00:00:00.000000-0800,wto1641,0.0
1,2035-01-01T00:00:00.000000-0800,wto1680,0.0
1,2035-01-01T00:00:00.000000-0800,wto1681,0.0
1,2035-01-01T00:00:00.000000-0800,wto1682,0.0
1,2035-01-01T00:00:00.000000-0800,wto1683,0.01
1,2035-01-01T00:00:00.000000-0800,wto1783,0.0
1,2035-01-01T00:00:00.000000-0800,wto1838,0.0
1,2035-01-01T00:00:00.000000-0800,wto1849,0.0
1,2035-01-01T00:00:00.000000-0800,wto1851,0.0
1,2035-01-01T00:00:00.000000-0800,wto1852,0.0
1,2035-01-01T00:00:00.000000-0800,wto1853,0.0
1,2035-01-01T00:00:00.000000-0800,wto1854,0.0
1,2035-01-01T00:00:00.000000-0800,wto1855,0.0
1,2035-01-01T00:00:00.000000-0800,wto1856,0.0
1,2035-01-01T00:00:00.000000-0800,wto1858,0.0
1,2035-01-01T00:00:00.000000-0800,wto1860,0.0
1,2035-01-01T00:00:00.000000-0800,wto1864,0.0
1,2035-01-01T00:00:00.000000-0800,wto1918,0.0
1,2035-01-01T00:00:00.000000-0800,wto1927,0.0
1,2035-01-01T00:00:00.000000-0800,wto1928,0.0
1,2035-01-01T00:00:00.000000-0800,wto1929,0.0
1,2035-01-01T00:00:00.000000-0800,wto1931,0.0
1,2035-01-01T00:00:00.000000-0800,wto1932,0.047
1,2035-01-01T00:00:00.000000-0800,wto1933,0.07
1,2035-01-01T00:00:00.000000-0800,wto1993,0.0
1,2035-01-01T00:00:00.000000-0800,wto2203,0.0
1,2035-01-01T00:00:00.000000-0800,wto2204,0.023
1,2035-01-01T00:00:00.000000-0800,wto2208,0.0
1,2035-01-01T00:00:00.000000-0800,wto2264,0.0
1,2035-01-01T00:00:00.000000-0800,wto2305,0.0
1,2035-01-01T00:00:00.000000-0800,wto2314,0.049
1,2035-01-01T00:00:00.000000-0800,wto2399,0.041
1,2035-01-01T00:00:00.000000-0800,wto2406,0.0
1,2035-01-01T00:00:00.000000-0800,wto2407,0.0
1,2035-01-01T00:00:00.000000-0800,wto7830,0.0
1,2035-01-01T00:00:00.000000-0800,wto7938,0.0
1,2035-01-01T00:00:00.000000-0800,wto8403,0.0
1,2035-01-01T00:00:00.000000-0800,wto8456,0.0
1,2035-01-01T00:00:00.000000-0800,wto8507,0.0
1,2035-01-01T00:00:00.000000-0800,wto8534,0.0
1,2035-01-01T00:00:00.000000-0800,wto8535,0.0
1,2035-01-01T00:00:00.000000-0800,wto8593,0.0
1,2035-01-01T00:00:00.000000-0800,wto8680,0.0
1,2035-01-01T00:00:00.000000-0800,wto8712,0.253
