name,bus_type,kron_removable_bus,base_voltage_kV,base_power_MVA
527,PQ,false,66.0,100.0
528,PQ,false,66.0,100.0
529,PV,false,66.0,100.0
530,PQ,false,66.0,100.0
531,PQ,false,66.0,100.0
532,PQ,false,66.0,100.0
533,PQ,false,66.0,100.0
534,PQ,false,66.0,100.0
535,PV,false,66.0,100.0
536,PQ,false,66.0,100.0
537,PQ,false,66.0,100.0
538,PQ,false,66.0,100.0
539,PV,false,66.0,100.0
540,PQ,false,66.0,100.0
541,PQ,false,66.0,100.0
542,PQ,false,66.0,100.0
543,PV,false,66.0,100.0
544,PQ,false,66.0,100.0
545,PV,false,66.0,100.0
546,PQ,false,66.0,100.0
547,PQ,false,66.0,100.0
548,PQ,false,66.0,100.0
549,PQ,false,66.0,100.0
550,PQ,false,66.0,100.0
551,PQ,false,66.0,100.0
552,PV,false,66.0,100.0
553,PQ,false,66.0,100.0
554,PV,false,66.0,100.0
555,PQ,false,66.0,100.0
556,PQ,false,66.0,100.0
557,PV,false,230.0,100.0
558,PQ,false,66.0,100.0
559,PV,false,66.0,100.0
560,PQ,false,66.0,100.0
561,PQ,false,66.0,100.0
562,PV,false,66.0,100.0
563,PQ,false,66.0,100.0
564,PQ,false,66.0,100.0
565,PV,false,66.0,100.0
566,PQ,false,66.0,100.0
567,PQ,false,115.0,100.0
568,PQ,false,66.0,100.0
569,PQ,false,115.0,100.0
570,PQ,false,115.0,100.0
571,PQ,false,66.0,100.0
572,PQ,false,230.0,100.0
573,PV,false,66.0,100.0
574,PQ,false,115.0,100.0
575,PQ,false,115.0,100.0
576,PV,false,115.0,100.0
577,PV,false,66.0,100.0
578,PQ,false,115.0,100.0
579,PQ,false,66.0,100.0
580,PQ,false,66.0,100.0
581,PQ,false,115.0,100.0
582,PV,false,66.0,100.0
583,PQ,false,66.0,100.0
584,PQ,false,115.0,100.0
585,PQ,false,66.0,100.0
586,PQ,false,66.0,100.0
587,PQ,false,66.0,100.0
588,PQ,false,66.0,100.0
589,PQ,false,66.0,100.0
590,PQ,false,66.0,100.0
591,PQ,false,66.0,100.0
592,PQ,false,66.0,100.0
593,PQ,false,66.0,100.0
594,PQ,false,66.0,100.0
595,PQ,false,66.0,100.0
596,PQ,false,66.0,100.0
597,PQ,false,66.0,100.0
598,PQ,false,66.0,100.0
599,PQ,false,66.0,100.0
600,PQ,false,115.0,100.0
601,PQ,false,66.0,100.0
602,PQ,false,115.0,100.0
603,PV,false,230.0,100.0
604,PQ,false,66.0,100.0
605,PQ,false,115.0,100.0
606,PQ,false,66.0,100.0
607,PV,false,66.0,100.0
608,PQ,false,115.0,100.0
609,PQ,false,115.0,100.0
610,PV,false,230.0,100.0
611,PQ,false,66.0,100.0
612,PQ,false,66.0,100.0
613,PQ,false,115.0,100.0
614,PQ,false,66.0,100.0
615,PV,false,66.0,100.0
616,PQ,false,66.0,100.0
617,PQ,false,66.0,100.0
618,PV,false,66.0,100.0
619,PQ,false,115.0,100.0
620,PQ,false,66.0,100.0
621,PQ,false,66.0,100.0
622,PQ,false,66.0,100.0
623,PQ,false,115.0,100.0
624,PQ,false,66.0,100.0
625,PQ,false,66.0,100.0
626,PQ,false,66.0,100.0
627,PQ,false,66.0,100.0
628,PQ,false,115.0,100.0
629,PQ,false,115.0,100.0
630,PQ,false,115.0,100.0
631,PV,false,66.0,100.0
632,PQ,false,66.0,100.0
633,PV,false,66.0,100.0
634,PV,false,66.0,100.0
635,PQ,false,66.0,100.0
636,PV,false,115.0,100.0
637,PQ,false,66.0,100.0
638,PV,false,66.0,100.0
639,PQ,false,66.0,100.0
640,PQ,false,66.0,100.0
641,PQ,false,66.0,100.0
642,PQ,false,66.0,100.0
643,PQ,false,66.0,100.0
644,PQ,false,66.0,100.0
645,PQ,false,115.0,100.0
646,PQ,false,66.0,100.0
647,PQ,false,66.0,100.0
648,PQ,false,66.0,100.0
649,PV,false,66.0,100.0
650,PQ,false,66.0,100.0
651,PQ,false,66.0,100.0
652,PQ,false,115.0,100.0
653,PV,false,66.0,100.0
654,PQ,false,66.0,100.0
655,PQ,false,66.0,100.0
656,PQ,false,66.0,100.0
657,PQ,false,66.0,100.0
658,PQ,false,66.0,100.0
659,PV,false,115.0,100.0
660,PQ,false,115.0,100.0
661,PQ,false,66.0,100.0
662,PV,false,115.0,100.0
663,PQ,false,66.0,100.0
664,PQ,false,66.0,100.0
665,PQ,false,66.0,100.0
666,PQ,false,66.0,100.0
667,PQ,false,66.0,100.0
668,PV,false,66.0,100.0
669,PQ,false,66.0,100.0
670,PQ,false,66.0,100.0
671,PQ,false,66.0,100.0
672,PQ,false,66.0,100.0
673,PQ,false,66.0,100.0
674,PQ,false,66.0,100.0
675,PQ,false,66.0,100.0
676,PV,false,66.0,100.0
677,PV,false,66.0,100.0
678,PQ,false,66.0,100.0
679,PQ,false,66.0,100.0
680,PQ,false,66.0,100.0
681,PQ,false,66.0,100.0
682,PQ,false,66.0,100.0
683,PQ,false,66.0,100.0
684,PQ,false,66.0,100.0
685,PQ,false,66.0,100.0
686,PV,false,66.0,100.0
687,PQ,false,66.0,100.0
688,PQ,false,66.0,100.0
689,PQ,false,66.0,100.0
690,PQ,false,66.0,100.0
691,PQ,false,66.0,100.0
692,PV,false,66.0,100.0
693,PQ,false,66.0,100.0
694,PQ,false,66.0,100.0
695,PQ,false,66.0,100.0
696,PQ,false,66.0,100.0
697,PQ,false,66.0,100.0
698,PV,false,66.0,100.0
