scenario,bus,timepoint,load_MW
climate_1,511,2035-01-01T20:00:00.000000-0800,11.17001726574685
climate_1,1165,2035-01-01T05:00:00.000000-0800,0.44471815318579777
climate_1,1225,2035-01-01T13:00:00.000000-0800,4.084716771403066
climate_1,967,2035-01-01T16:00:00.000000-0800,1.5652963880686883
climate_1,1060,2035-01-01T18:00:00.000000-0800,29.65410193147529
climate_1,1014,2035-01-01T02:00:00.000000-0800,17.178499913417028
climate_1,990,2035-01-01T08:00:00.000000-0800,18.814261160672515
climate_1,1972,2035-01-01T22:00:00.000000-0800,7.556763296745607
climate_1,2148,2035-01-01T13:00:00.000000-0800,3.8769443217784136
climate_1,7696,2035-01-01T14:00:00.000000-0800,25.928752273192828
climate_1,1007,2035-01-01T06:00:00.000000-0800,32.262238705760524
