generator,scenario,Capacity_MW
cats_1363,1,0.0
cats_1364,1,0.0
cats_1365,1,0.0
cats_1366,1,0.0
cats_1367,1,0.0
cats_1368,1,0.0
cats_1369,1,0.0
cats_1370,1,0.0
cats_1371,1,0.0
cats_1372,1,0.0
cats_1373,1,0.0
cats_1374,1,0.0
cats_1375,1,0.0
cats_1376,1,0.0
cats_1377,1,0.0
cats_1378,1,0.0
cats_1379,1,0.0
cats_1380,1,0.0
cats_1381,1,0.0
cats_1382,1,0.0
cats_1383,1,0.0
cats_1384,1,0.0
cats_1385,1,0.0
cats_1386,1,0.0
cats_1387,1,0.0
cats_1388,1,0.0
cats_1389,1,0.0
cats_1390,1,0.0
cats_1391,1,0.0
cats_1392,1,0.0
cats_1393,1,0.0
cats_1394,1,0.0
cats_1395,1,0.0
cats_1396,1,0.0
cats_1397,1,0.0
cats_1398,1,0.0
cats_1399,1,0.0
cats_1400,1,0.0
cats_1401,1,0.0
cats_1402,1,0.0
cats_1403,1,0.0
cats_1404,1,0.0
cats_1405,1,0.0
cats_1406,1,0.0
cats_1407,1,0.0
cats_1408,1,0.0
cats_1409,1,0.0
cats_1410,1,0.0
cats_1411,1,0.0
cats_1412,1,0.0
cats_1413,1,0.0
cats_1414,1,0.0
cats_1415,1,0.0
cats_1416,1,0.0
cats_1417,1,0.0
cats_1418,1,0.0
cats_1419,1,0.0
cats_1420,1,0.0
cats_1421,1,0.0
cats_1422,1,0.0
cats_1423,1,0.0
cats_1424,1,0.0
cats_1425,1,0.0
cats_1426,1,0.0
cats_1427,1,0.0
cats_1428,1,0.0
cats_1429,1,0.0
cats_1430,1,0.0
cats_1431,1,0.0
cats_1432,1,0.0
cats_1433,1,0.0
cats_1434,1,0.0
cats_1435,1,0.0
cats_1436,1,0.0
cats_1437,1,0.0
cats_1438,1,0.0
cats_1439,1,0.0
cats_1440,1,0.0
cats_1441,1,0.0
cats_1442,1,0.0
cats_1443,1,0.0
cats_1444,1,0.0
cats_1445,1,0.0
cats_1446,1,0.0
cats_1447,1,0.0
cats_1448,1,0.0
cats_1449,1,0.0
cats_1450,1,0.0
cats_1451,1,0.0
cats_1452,1,0.0
cats_1453,1,0.0
cats_1454,1,0.0
cats_1455,1,0.0
cats_1456,1,0.0
cats_1457,1,0.0
cats_1458,1,0.0
cats_1459,1,0.0
cats_1460,1,0.0
cats_1461,1,0.0
cats_1462,1,0.0
cats_1463,1,0.0
cats_1464,1,0.0
cats_1465,1,0.0
cats_1466,1,0.0
cats_1467,1,0.0
cats_1468,1,0.0
cats_1469,1,0.0
cats_1470,1,0.0
cats_1471,1,0.0
cats_1472,1,0.0
cats_1473,1,0.0
cats_1474,1,0.0
cats_1475,1,0.0
cats_1476,1,0.0
cats_1477,1,0.0
cats_1478,1,0.0
cats_1479,1,0.0
cats_1480,1,0.0
cats_1481,1,0.0
cats_1482,1,0.0
cats_1483,1,0.0
cats_1484,1,0.0
cats_1485,1,0.0
cats_1486,1,0.0
cats_1487,1,0.0
cats_1488,1,0.0
