generator,scenario,Capacity_MW
1260,sc1,0.8
1261,sc1,0.8
1262,sc1,5.81814783
1263,sc1,49.0
1264,sc1,12.5
1265,sc1,2.5
1266,sc1,2.8
1267,sc1,3.5
1268,sc1,1.16362957
1269,sc1,0.517168696
1270,sc1,2.1
1271,sc1,2.1
1272,sc1,0.387876522
1273,sc1,0.64646087
1274,sc1,2.5
1275,sc1,15.0
1276,sc1,15.0
1277,sc1,3.0
1278,sc1,29.0
1279,sc1,79.2
1280,sc1,2.0
1281,sc1,1.42221391
1282,sc1,1.93938261
1283,sc1,21.9796696
1284,sc1,3.74947305
1285,sc1,3.74947305
1286,sc1,1.55150609
1287,sc1,1.42221391
1288,sc1,167.821242
1289,sc1,195.489767
1290,sc1,132.00731
1291,sc1,116.750833
1292,sc1,145.453696
1293,sc1,3.87876522
1294,sc1,3.4908887
1295,sc1,78.2
1296,sc1,78.2
1297,sc1,5.7
1298,sc1,142.221391
1299,sc1,1.0
1300,sc1,1.0
1301,sc1,5.17168696
1302,sc1,102.5
1303,sc1,21.0
1304,sc1,21.0
1305,sc1,3.0
1306,sc1,3.23230435
1307,sc1,1.29292174
1308,sc1,151.7
1309,sc1,14.3514313
1310,sc1,1.5
1311,sc1,2.3
1312,sc1,1.55150609
1313,sc1,120.0
1314,sc1,3.87876522
1315,sc1,6.4646087
1316,sc1,3.87876522
1317,sc1,6.4646087
1318,sc1,3.87876522
1319,sc1,6.4646087
1320,sc1,6.4646087
