timepoint,site,capacity_factor,technology,scenario
2035-01-01T00:00:00.000000-0800,pvu259,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu260,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu261,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu262,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu263,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu264,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu265,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu266,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu267,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu268,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu269,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu270,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu271,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu272,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu273,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu274,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu275,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu276,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu277,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu278,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu279,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu280,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu281,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu282,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu283,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu284,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu285,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu286,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu287,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu288,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu289,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu290,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu291,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu292,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu293,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu294,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu295,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu296,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu297,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu298,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu299,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu300,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu301,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu302,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu303,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu304,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu305,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu306,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu307,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu308,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu309,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu310,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu311,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu312,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu313,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu314,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu315,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu316,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu317,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu318,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu319,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu320,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu321,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu322,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu323,0,solar photovoltaic,sc1
